Name;Postanschrift;Hausanschrift;E-Mail;Web;Telefon;Fax
Landgericht  Düsseldorf ;"Landgericht  Düsseldorf 
Postfach 10 34 61
40025 Düsseldorf";"Landgericht  Düsseldorf 
Werdener Str. 1
40227 Düsseldorf";poststelle@lg-duesseldorf.nrw.de;http://www.lg-duesseldorf.nrw.de;(0211)83060;(0211)874541260
Oberlandesgericht Dresden ;"Oberlandesgericht Dresden 
Postfach 12 07 32
01008 Dresden";"Oberlandesgericht Dresden 
Schloßplatz 1
01067 Dresden";verwaltung-p@olg.justiz.sachsen.de;http://www.oberlandesgericht-dresden.de;(0351)4460;(0351)4461529
Oberlandesgericht Düsseldorf ;"Oberlandesgericht Düsseldorf 
Postfach 30 02 10
40402 Düsseldorf";"Oberlandesgericht Düsseldorf 
Cecilienallee 3
40474 Düsseldorf";poststelle@olg-duesseldorf.nrw.de;http://www.olg-duesseldorf.nrw.de;(0211)49710;(0211)4971548
Amtsgericht Ebersberg;Amtsgericht Ebersberg;"Amtsgericht Ebersberg
Bahnhofstraße 19
85560 Ebersberg";Poststelle@ag-ebe.bayern,de;;(08092)82530;(08092)825396
Amtsgericht Eberswalde ;"Amtsgericht Eberswalde 
Postfach 10 04 50
16204 Eberswalde";"Amtsgericht Eberswalde 
Tramper Chaussee 4
16225 Eberswalde/Finow";poststelle@arbge.brandenburg.De;http://www.arbg-eberswalde.brandenburg.de;(03334)660030;(03334)660028
Amtsgericht Eckernförde ;"Amtsgericht Eckernförde 
Postfach 11 07
24331 Eckernförde";"Amtsgericht Eckernförde 
Reeperbahn 45-47
24340 Eckernförde";verwaltung@ag-eckernfoerde.landsh.de;http://www.schleswig-holstein.de/DE/Justiz/LGKIEL/landgerichtsbezirk/amtsgerichte/eckernfoerde/eckernfoerde_node.html;(04351)7153;(04351)715480
Amtsgericht Eggenfelden;"Amtsgericht Eggenfelden
Postfach 13 09
84303 Eggenfelden";"Amtsgericht Eggenfelden
Feuerhausgasse 12
84307 Eggenfelden";Poststelle@ag-eg.bayern.de;http://www.justiz.bayern.de/gericht/ag/eg;(08721)7770;(08721)777139
Amtsgericht Ehingen (Donau) ;"Amtsgericht Ehingen (Donau) 
Postfach 11 61
89571 Ehingen (Donau)";"Amtsgericht Ehingen (Donau) 
Marktplatz 3
89584 Ehingen (Donau)";Poststelle@agehingen.justiz.bwl.de;;(07391) 508308;(07391) 508311
Amtsgericht Eilenburg ;Amtsgericht Eilenburg ;"Amtsgericht Eilenburg 
Walther-Rathenau-Straße 9
04838 Eilenburg";verwaltung-ageb@ageb.justiz.sachsen.de;http://www.justiz.sachsen.de;(03423)6545;(03423)654300
Amtsgericht Einbeck ;"Amtsgericht Einbeck 
Postfach 16 15 u. 16 20
37557 Einbeck";"Amtsgericht Einbeck 
Hullerser Straße 1
37574 Einbeck";poststelle@ag-ein.niedersachsen.de;http://www.amtsgericht-einbeck.niedersachsen.de;(05561)93820;(05561)938212
Amtsgericht Eisenach ;"Amtsgericht Eisenach 
Postfach 11 54
99801 Eisenach";"Amtsgericht Eisenach 
Theaterplatz 5
99817 Eisenach";Poststelle@agesa.thueringen.de;;(03691)2470;(03691)247200
Amtsgericht Eisenhüttenstadt ;"Amtsgericht Eisenhüttenstadt 
Postfach 71 54
15871 Eisenhüttenstadt";"Amtsgericht Eisenhüttenstadt 
Diehloer Straße 62
15890 Eisenhüttenstadt";verwaltung@AGEH.BRANDENBURG.DE;http://www.ag-eisenhuettenstadt.brandenburg.de;(03364)40500;(03364)405038
Amtsgericht Ellwangen (Jagst) ;"Amtsgericht Ellwangen (Jagst) 
73471 Ellwangen (Jagst)";"Amtsgericht Ellwangen (Jagst) 
Schöner Graben 25
73479 Ellwangen (Jagst)";Poststelle@agellwangen.justiz.bwl.de;http://www.amtsgericht-ellwangen.de;(07961) 810;(07961) 81740
Amtsgericht Elmshorn ;Amtsgericht Elmshorn ;"Amtsgericht Elmshorn 
Bismarckstraße 8
25335 Elmshorn";verwaltung@ag-elmshorn.landsh.de;http://www.ag-elmshorn.schleswig-holstein.de;(04121)2320;(04121)232444
Amtsgericht Elze ;"Amtsgericht Elze 
Postfach 1251
31002 Elze";"Amtsgericht Elze 
Bahnhofstraße 26
31008 Elze";agelz-poststelle@justiz.niedersachsen.de;http://www.amtsgericht-elze.niedersachsen.de;(05068)93010;(05068)930155
Amtsgericht Emden ;"Amtsgericht Emden 
Postfach 1332
26690 Emden";"Amtsgericht Emden 
Ringstraße 6
26721 Emden";agemd-poststelle@justiz.niedersachsen.de;http://www.amtsgericht-emden.niedersachsen.de;(04921)9510;(04921)951500
Amtsgericht Emmendingen;"Amtsgericht Emmendingen
Postfach 13 40
79303 Emmendingen";"Amtsgericht Emmendingen
Karl-Friedrich-Straße 25
79312 Emmendingen";Poststelle@agemmendingen.justiz.bwl.de;;(07641) 4500;(07641) 450196
Amtsgericht Emmerich am Rhein;"Amtsgericht Emmerich am Rhein
Postfach 10 01 54
46421 Emmerich am Rhein";"Amtsgericht Emmerich am Rhein
Seufzerallee 20
46446 Emmerich am Rhein";poststelle@ag-emmerich.nrw.de;http://www.ag-emmerich.nrw.de;(02822)6940;(02822)69448
Amtsgericht Erding ;"Amtsgericht Erding 
Postfach 12 65
85422 Erding";"Amtsgericht Erding 
Münchener Straße 27
85435 Erding";Poststelle@ag-ed.bayern.de;http://https://www.justiz.bayern.de/gericht/ag/ed/;(08122)4000;(08122)400123
Amtsgericht Erfurt ;"Amtsgericht Erfurt 
Postfach 90 04 33
99107 Erfurt";"Amtsgericht Erfurt 
Rudolfstraße 46
99092 Erfurt";Poststelle@agef.thueringen.de;http://http://www.thueringen.de/th4/olg/gerichte_in_thueringen/landgericht_erfurt/ags/amtsgericht_erfurt/;(0361)3776001;(0361)3776000
Amtsgericht Erkelenz ;"Amtsgericht Erkelenz 
Postfach 16 53 u.16 58
41806 Erkelenz";"Amtsgericht Erkelenz 
Kölner Straße 61
41812 Erkelenz";poststelle@ag-erkelenz.nrw.de;http://www.ag-erkelenz.nrw.de;(02431)96020;(02431)9602222
Amtsgericht Erlangen ;"Amtsgericht Erlangen 
Postfach 11 20
91051 Erlangen";"Amtsgericht Erlangen 
Mozartstraße 23
91052 Erlangen";Poststelle@ag-er.bayern.de;http://www.justiz.bayern.de/gericht/ag/er;(09131)78201;(09131)782105
Amtsgericht Eschwege ;"Amtsgericht Eschwege 
Postfach 12 40
37252 Eschwege";"Amtsgericht Eschwege 
Friedrich-Wilhelm-Straße 39
37269 Eschwege";verwaltung@ag-eschwege.justiz.hessen.de;http://www.ag-eschwege.justiz.hessen.de;(05651)3391201;(05651)3391251
Amtsgericht Eschweiler ;"Amtsgericht Eschweiler 
Postfach 13 40
52233 Eschweiler";"Amtsgericht Eschweiler 
Kaiserstraße 6
52249 Eschweiler";poststelle@ag-eschweiler.nrw.de;http://www.ag-eschweiler.nrw.de;(02403)70070;(02403)7007104
Amtsgericht Essen ;"Amtsgericht Essen 
Postfach 10 02 63
45002 Essen";"Amtsgericht Essen 
Zweigertstraße 52
45130 Essen";poststelle@ag-essen.nrw.de;http://www.ag-essen.nrw.de;(0201)8030;(0201)803-1000/ 1001
Amtsgericht Essen-Borbeck ;"Amtsgericht Essen-Borbeck 
Postfach 11 01 51
45331 Essen";"Amtsgericht Essen-Borbeck 
Marktstraße 70
45355 Essen";poststelle@ag-essenborbeck.nrw.de;http://www.ag-essenborbeck.nrw.de;(0201)86800;(0201)8680250
Amtsgericht Essen-Steele;"Amtsgericht Essen-Steele
Postfach 14 31 80
45261 Essen";"Amtsgericht Essen-Steele
Grendplatz 2
45276 Essen";poststelle@ag-essensteele.nrw.de;http://www.ag-essensteele.nrw.de;(0201)851040;(0201)8510430
Amtsgericht Esslingen am Neckar;"Amtsgericht Esslingen am Neckar
Postfach 10 09 52
73706 Esslingen am Neckar";"Amtsgericht Esslingen am Neckar
Ritterstraße 8 - 10
73728 Esslingen am Neckar";Poststelle@agesslingen.de;;(0711) 39620;(0711) 3962100
Amtsgericht Ettenheim;"Amtsgericht Ettenheim
Postfach 40
77949 Ettenheim";"Amtsgericht Ettenheim
Otto-Stoelcker-Straße 8
77955 Ettenheim";Poststelle@agettenheim.justiz.bwl.de;;(07822) 89430;(07822) 894313
Amtsgericht Ettlingen;"Amtsgericht Ettlingen
Postfach 1 61
76255 Ettlingen";"Amtsgericht Ettlingen
Sternengasse 26
76275 Ettlingen";Poststelle@agettlingen.justiz.bwl.de;;(07243) 5080;(07243) 508444
Amtsgericht Euskirchen;"Amtsgericht Euskirchen
53877 Euskirchen";"Amtsgericht Euskirchen
Kölner Straße 40-42
53879 Euskirchen";poststelle@ag-euskirchen.nrw.de;http://www.ag-euskirchen.nrw.de;(02251)9510;(02251)9511900
Amtsgericht Eutin ;"Amtsgericht Eutin 
Postfach 4 12
23694 Eutin";"Amtsgericht Eutin 
Jungfernstieg 3
23701 Eutin";verwaltung@ag-eutin.landsh.de;http://www.ag-eutin.schleswig-holstein.de;(04521)7056;(04521)705700
Amtsgericht Rüdesheim am Rhein Zweigstelle Eltville am Rhein;"Amtsgericht Rüdesheim am Rhein Zweigstelle Eltville am Rhein
Postfach 11 54
65331 Eltville am Rhein";"Amtsgericht Rüdesheim am Rhein Zweigstelle Eltville am Rhein
Schwalbacher Straße 40
65343 Eltville am Rhein";verwaltung@ag-ruedesheim.justiz.hessen.de;http://www.ag-ruedesheim.justiz.hessen.de;(06123)90780;(06123)907840
Landgericht  Ellwangen (Jagst) ;"Landgericht  Ellwangen (Jagst) 
Postfach 1254
73472 Ellwangen (Jagst)";"Landgericht  Ellwangen (Jagst) 
Marktplatz 7
73479 Ellwangen (Jagst)";Poststelle@lgellwangen.justiz.bwl.de;;(07961) 810;(07961) 81227 / 81207
Landgericht  Erfurt ;"Landgericht  Erfurt 
Postfach 90 04 32
99107 Erfurt";"Landgericht  Erfurt 
Domplatz 37
99084 Erfurt";Poststelle@lgef.thueringen.de;http://www.thueringen.de/olg/LGEf.HTML;(0361)3775535;(0361)3775800
Landgericht  Essen ;"Landgericht  Essen 
Postfach 10 24 42
45024 Essen";"Landgericht  Essen 
Zweigertstraße 52
45130 Essen";poststelle@lg-essen.nrw.de;http://www.lg-essen.nrw.de;(0201)8030;(0201)8032900
Amtsgericht Flensburg ;"Amtsgericht Flensburg 
Postfach 11 51
24901 Flensburg";"Amtsgericht Flensburg 
Südergraben 22
24937 Flensburg";verwaltung@ag-flensburg.landsh.de;http://www.ag-flensburg.schleswig-holstein.de;(0461)890;(0461)89434
Amtsgericht Forchheim ;"Amtsgericht Forchheim 
Postfach 12 69
91294 Forchheim";"Amtsgericht Forchheim 
Kapellenstraße 15
91301 Forchheim";Poststell@ag-fo.bayern.de;http://www.amtsgericht-forchheim.bayern.de;(09191) 7100;(09191) 710-101
Amtsgericht Frankenberg (Eder);Amtsgericht Frankenberg (Eder);"Amtsgericht Frankenberg (Eder)
Geismarer Straße 22
35066 Frankenberg (Eder)";verwaltung@ag-frankenberg.justiz.hessen.de;http://www.ag-frankenberg.justiz.hessen.de;(06451)72610;(06451)726161
Amtsgericht Frankenthal (Pfalz) ;"Amtsgericht Frankenthal (Pfalz) 
Postfach 11 21
67201 Frankenthal (Pfalz)";"Amtsgericht Frankenthal (Pfalz) 
Bahnhofstraße 33
67227 Frankenthal (Pfalz)";AGFT@zw.jm.rlp.de;http://www.AGFT.justiz.rlp.de;(06233)800;(06233)80398
Amtsgericht Frankfurt (Oder) ;"Amtsgericht Frankfurt (Oder) 
Postfach 7 70
15207 Frankfurt (Oder)";"Amtsgericht Frankfurt (Oder) 
Eisenhüttenstädter Chaussee 48
15236 Frankfurt (Oder)";poststelle@arbgf.brandenburg.De;http://www.arbg-frankfurt-oder.brandenburg.de;(0335)55380;(0335)5538227
Amtsgericht Frankfurt am Main;"Amtsgericht Frankfurt am Main
- Frankfurt am Main";"Amtsgericht Frankfurt am Main
Gerichtsstraße 2
60313 Frankfurt am Main";verwaltung@ag-frankfurt.justiz.hessen.de;http://www.ag-frankfurt.justiz.hessen.de;(069)136701;(069)13672030
Amtsgericht Frankfurt am Main - Außenstelle Höchst -;Amtsgericht Frankfurt am Main - Außenstelle Höchst -;"Amtsgericht Frankfurt am Main - Außenstelle Höchst -
Zuckschwerdtstraße 58
65929 Frankfurt am Main";Verwaltung-hoechst@ag-frankfurt.justiz.hessen.de;http://www.ag-frankfurt.justiz.hessen.de;(069)136701;(069)13673212
Amtsgericht Freiberg ;"Amtsgericht Freiberg 
Postfach 13 51
09583 Freiberg";"Amtsgericht Freiberg 
Beethovenstraße 8
09599 Freiberg";verwaltung-p@agfg.justiz.sachsen.de;http://www.justiz.sachsen.de;(03731)35890;(03731)358911
Amtsgericht Freiburg im Breisgau;"Amtsgericht Freiburg im Breisgau
79095 Freiburg im Breisgau";"Amtsgericht Freiburg im Breisgau
Holzmarkt 2
79098 Freiburg im Breisgau";Poststelle@agfreiburg.justiz.bwl.de;;(0761) 2050;(0761) 2051800
Amtsgericht Freising ;"Amtsgericht Freising 
Postfach 11 42
85311 Freising";"Amtsgericht Freising 
Domberg 20
85354 Freising";Poststelle@ag-fs.bayern.de;http://www.justiz.bayern.de/gericht/ag/fs/;(08161)18001;(08161)180235
Amtsgericht Freudenstadt ;"Amtsgericht Freudenstadt 
Postfach 105
72231 Freudenstadt";"Amtsgericht Freudenstadt 
Stuttgarter Straße 15
72250 Freudenstadt";Poststell@agfreudenstadt.justiz.bwl.de;;(07441) 56-1500;(07441) 561511
Amtsgericht Freyung ;"Amtsgericht Freyung 
Postfach
94074 Freyung";"Amtsgericht Freyung 
Geyersbergstraße 1
94078 Freyung";Poststelle@ag-frg.bayern.de;http://www.amtsgericht-freyung.de/;(08551)9700;(08551)970160
Amtsgericht Friedberg (Hessen) ;"Amtsgericht Friedberg (Hessen) 
Postfach 10 01 61
61141 Friedberg (Hessen)";"Amtsgericht Friedberg (Hessen) 
Homburger Straße 18
61169 Friedberg (Hessen)";verwaltung@ag-friedberg.justiz.hessen.de;http://www.ag-friedberg.justiz.hessen.de;(06031)6030;(06031)603157
Amtsgericht Fritzlar ;"Amtsgericht Fritzlar 
Postfach 11 54
34551 Fritzlar";"Amtsgericht Fritzlar 
Schladenweg 1
34560 Fritzlar";verwaltung@ag-fritzlar.justiz.hessen.de;http://www.ag-fritzlar.justiz.hessen.de;(05622)99330;(05622)70680
Amtsgericht Fulda ;"Amtsgericht Fulda 
Postfach 11 54
36001 Fulda";"Amtsgericht Fulda 
Königstraße 38
36037 Fulda";verwaltung@ag-fulda.justiz.hessen.de;http://www.ag-fulda.justiz.hessen.de;(0661)9242300;(0661)9242400
Amtsgericht Fürstenfeldbruck ;"Amtsgericht Fürstenfeldbruck 
Postfach 11 41
82241 Fürstenfeldbruck";"Amtsgericht Fürstenfeldbruck 
Stadelbergerstraße 5
82256 Fürstenfeldbruck";Poststelle@ag-ffb.bayern.de;;(08141)5110;(08141)511133
Amtsgericht Fürstenwalde/Spree;"Amtsgericht Fürstenwalde/Spree
Postfach 13 09 u. 13 20
15515 Fürstenwalde/Spree";"Amtsgericht Fürstenwalde/Spree
Eisenbahnstr. 8
15517 Fürstenwalde/Spree";verwaltung@AGFW.BRANDENBURG.DE;http://www.ag-fuerstenwalde.brandenburg.de;(03361)5096;(03361)509830
Amtsgericht Fürth ;"Amtsgericht Fürth 
Postfach 12 63
64655 Fürth";"Amtsgericht Fürth 
Heppenheimer Straße 15
64658 Fürth";verwaltung@ag-fuerth.justiz.hessen.de;http://www.ag-fuerth.justiz.hessen.de;(06253)2080;(06253)20811
Amtsgericht Fürth i. Bay. ;"Amtsgericht Fürth i. Bay. 
Postfach 11 64
90701 Fürth i. Bay.";"Amtsgericht Fürth i. Bay. 
Bäumenstraße 32
90762 Fürth i. Bay.";Poststelle@ag-fue.bayern.de;;(0911)74380;(0911)7438199
Landgericht  Flensburg ;"Landgericht  Flensburg 
Postfach 21 42
24911 Flensburg";"Landgericht  Flensburg 
Südergraben 22
24937 Flensburg";verwaltung@lg-flensburg.landsh.de;http://www.lg-flensburg.schleswig-holstein.de;(0461)890;(0461)89295
Landgericht  Frankenthal (Pfalz) ;"Landgericht  Frankenthal (Pfalz) 
Postfach 16 22
67206 Frankenthal (Pfalz)";"Landgericht  Frankenthal (Pfalz) 
Bahnhofstraße 33
67227 Frankenthal (Pfalz)";LGFT@zw.jm.rlp.de;http://www.LGFT.justiz.rlp.de;(06233)800;(06233)80231
Landgericht  Frankfurt (Oder) ;"Landgericht  Frankfurt (Oder) 
Postfach 11 75
15201 Frankfurt (Oder)";"Landgericht  Frankfurt (Oder) 
Müllroser Chaussee 55
15236 Frankfurt (Oder)";verwaltung@LGFF.BRANDENBURG.DE;http://www.lg-ffo.brandenburg.de;(0335) 3660;(0335) 3664279
Landgericht  Frankfurt am Main;"Landgericht  Frankfurt am Main
60256 Frankfurt am Main";"Landgericht  Frankfurt am Main
Gerichtsstraße 2
60313 Frankfurt am Main";verwaltung@lg-frankfurt.justiz.hessen.de;http://www.lg-frankfurt.justiz.hessen.de;(069)136701;(069)13676050
Landgericht  Freiburg im Breisgau;Landgericht  Freiburg im Breisgau;"Landgericht  Freiburg im Breisgau
Salzstraße 17
79098 Freiburg im Breisgau";Poststelle@lgfreiburg.justiz.bwl.de;;(0761) 2050;(0761) 2052030
Landgericht  Fulda ;"Landgericht  Fulda 
Postfach 16 62
36006 Fulda";"Landgericht  Fulda 
Am Rosengarten 4
36037 Fulda";verwaltung@lg-fulda.justiz.hessen.de;http://www.lg-fulda.justiz.hessen.de;(0661)92402;(0661)9242100
Oberlandesgericht Frankfurt am Main;"Oberlandesgericht Frankfurt am Main
60256 Frankfurt am Main";"Oberlandesgericht Frankfurt am Main
Zeil 42
60313 Frankfurt am Main";verwaltung@olg.justiz.hessen.de;http://www.olg-frankfurt.justiz.hessen.de;(069)136701;(069)13672976
Oberlandesgericht Karlsruhe Ziv.Sen. Freiburg;"Oberlandesgericht Karlsruhe Ziv.Sen. Freiburg
79095 Karlsruhe";"Oberlandesgericht Karlsruhe Ziv.Sen. Freiburg
Salzstraße 28
79098 Freiburg";Poststelle@olgzsfreiburg.justiz.bwl.de;;(0761) 2050;(0761) 2053028
Amtsgericht Burg Zweigstelle Genthin;"Amtsgericht Burg Zweigstelle Genthin
Postfach 13 42
39302 Genthin";"Amtsgericht Burg Zweigstelle Genthin
Brandenburger Straße 95
39307 Genthin";-;;(03933)9060;(03933)906130
Amtsgericht Garmisch-Partenkirchen;Amtsgericht Garmisch-Partenkirchen;"Amtsgericht Garmisch-Partenkirchen
Rathausplatz 11
82467 Garmisch-Partenkirchen";Poststelle@ag-gap.bayern.de;;(08821)9280;(08821)928100
Amtsgericht Geilenkirchen ;"Amtsgericht Geilenkirchen 
Postfach 11 69
52501 Geilenkirchen";"Amtsgericht Geilenkirchen 
Konrad-Adenauer-Straße 225
52511 Geilenkirchen";poststelle@ag-geilenkirchen.nrw.de;http://www.ag-geilenkirchen.nrw.de;(02451)9910;(02451)991270
Amtsgericht Geislingen a.d. Steige;"Amtsgericht Geislingen a.d. Steige
Postfach 11 52
73301 Geislingen a. d. Steige";"Amtsgericht Geislingen a.d. Steige
Schulstraße 17
73312 Geislingen a. d. Steige";Poststelle@aggeislingen.justiz.bwl.de;;(07331) 220;(07331) 22377
Amtsgericht Geldern ;"Amtsgericht Geldern 
Postfach 11 64
47591 Geldern";"Amtsgericht Geldern 
Nordwall 51
47608 Geldern";poststelle@ag-geldern.nrw.de;http://www.ag-geldern.nrw.de;(02831)1230;(02831)123222
Amtsgericht Gelnhausen ;"Amtsgericht Gelnhausen 
63569 Gelnhausen";"Amtsgericht Gelnhausen 
Philipp-Reis-Straße 9
63571 Gelnhausen";verwaltung@ag-gelnhausen.justiz.hessen.de;http://www.ag-gelnhausen.justiz.hessen.de;(06051)8290;(06051)829259
Amtsgericht Gelsenkirchen;"Amtsgericht Gelsenkirchen
Postfach 10 02 52 u.10 02 62
45802 Gelsenkirchen";"Amtsgericht Gelsenkirchen
Overwegstraße 35
45879 Gelsenkirchen";poststelle@ag-gelsenkirchen.nrw.de;http://www.ag-gelsenkirchen.nrw.de;(0209)17910;(0209)1791188
Amtsgericht Gelsenkirchen-Buer;"Amtsgericht Gelsenkirchen-Buer
Postfach 20 01 53 u. 20 01 63
45836 Gelsenkirchen";"Amtsgericht Gelsenkirchen-Buer
Goldbergstraße 89
45894 Gelsenkirchen";poststelle@ag-gelsenkirchenbuer.nrw.de;http://www.ag-gelsenkirchenbuer.nrw.de;(0209)360980;(0209)3609890
Amtsgericht Gemünden am Main;Amtsgericht Gemünden am Main;"Amtsgericht Gemünden am Main
Friedenstraße 7
97737 Gemünden am Main";Poststelle@ag-gem.bayern.de;http://www.justiz.bayern.de/gericht/ag/gem;(09351)8090;(09351)809117
Amtsgericht Gengenbach ;Amtsgericht Gengenbach ;"Amtsgericht Gengenbach 
Grabenstraße 17
77723 Gengenbach";Poststelle@aggengenbach.justiz.bwl.de;;(07803) 96370;(07803) 963730
Amtsgericht Gera ;"Amtsgericht Gera 
Postfach 16 61
07506 Gera";"Amtsgericht Gera 
Rudolf-Diener-Straße 1
07545 Gera";Poststelle@agg.thueringen.de;http://www.thueringen.de/th4/olg/gerichte_in_thueringen/landgericht_gera/ags/amtsgericht_gera/;(0365)8340;(0365)8342007
Amtsgericht Germersheim ;"Amtsgericht Germersheim 
Postfach 12 40
76712 Germersheim";"Amtsgericht Germersheim 
Gerichtsstraße 6
76726 Germersheim";AGGER@zw.jm.rlp.de;http://www.AGGER.justiz.rlp.de;(07274)9520;(07274)952239
Amtsgericht Gernsbach ;"Amtsgericht Gernsbach 
Postfach 14 65
76587 Gernsbach";"Amtsgericht Gernsbach 
Hauptstraße 44
76593 Gernsbach";Poststelle@aggernsbach.justiz.bwl.de;;(07224) 99570;(07224) 995710
Amtsgericht Gießen ;"Amtsgericht Gießen 
Postfach 11 16 03
35387 Gießen";"Amtsgericht Gießen 
Gutfleischstraße 1
35390 Gießen";verwaltung@ag-giessen.justiz.hessen.de;http://www.ag-giessen.justiz.hessen.de;(0641)9340;(0641)9342442
Amtsgericht Gifhorn ;"Amtsgericht Gifhorn 
Postfach
38516 Gifhorn";"Amtsgericht Gifhorn 
Am Schloßgarten 4
38518 Gifhorn";AGGF-Poststelle@justiz.niedersachsen.de;http://www.amtsgericht-gifhorn.niedersachsen.de;(05371)897100;(05371)897300
Amtsgericht Gladbeck ;"Amtsgericht Gladbeck 
Postfach 1 40
45951 Gladbeck";"Amtsgericht Gladbeck 
Schützenstraße 21
45964 Gladbeck";poststelle@ag-gladbeck.nrw.de;http://www.ag-gladbeck.nrw.de;(02043)6970;(02043)697120
Amtsgericht Göppingen ;"Amtsgericht Göppingen 
Postfach 1 40
73001 Göppingen";"Amtsgericht Göppingen 
Pfarrstraße 25
73033 Göppingen";Poststelle@aggoeppingen.justiz.bwl.de;;(07161) 63-0;(07161) 632429
Amtsgericht Görlitz ;"Amtsgericht Görlitz 
Postfach 30 04 51
02809 Görlitz";"Amtsgericht Görlitz 
Postplatz 18
02826 Görlitz";verwaltung-p@aggr.justiz.sachsen.de;http://www.justiz.sachsen.de;(03581)4690;(03581)469-1919
Amtsgericht Goslar ;"Amtsgericht Goslar 
Postfach 11 80
38601 Goslar";"Amtsgericht Goslar 
Hoher Weg 9
38640 Goslar";poststelle@ag-gs.niedersachsen.de;;(05321)7050;(05321)705210
Amtsgericht Gotha ;"Amtsgericht Gotha 
Postfach 10 01 36
99851 Gotha";"Amtsgericht Gotha 
Justus-Perthes-Straße 2
99867 Gotha";Poststelle@aggth.thueringen.de;;(03621)215000;(03621)215100
Amtsgericht Göttingen ;"Amtsgericht Göttingen 
Postfach 11 43
37070 Göttingen";"Amtsgericht Göttingen 
Berliner Straße 8
37073 Göttingen";poststelle@ag-goe.niedersachsen.de;;(0551)4030;(0551)4031300
Amtsgericht Greifswald ;Amtsgericht Greifswald ;"Amtsgericht Greifswald 
Lange Straße 2a
17489 Greifswald";verwaltung@ag-greifswald-mv-justiz.de;;(03834)7950;(03834)795231 /230
Amtsgericht Greiz ;"Amtsgericht Greiz 
Postfach 12 63
07961 Greiz";"Amtsgericht Greiz 
Brunnengasse 10
07973 Greiz";Poststelle@aggrz.thueringen.de;;(03661)6150;(03661)615117
Amtsgericht Grevenbroich;"Amtsgericht Grevenbroich
Postfach 10 01 61
41485 Grevenbroich";"Amtsgericht Grevenbroich
Lindenstraße 33-37
41515 Grevenbroich";poststelle@ag-grevenbroich.nrw.de;http://www.ag-grevenbroich.nrw.de;(02181)65030;(02181)6503111
Amtsgericht Grevesmühlen ;"Amtsgericht Grevesmühlen 
Postfach 12 63
23932 Grevesmühlen";"Amtsgericht Grevesmühlen 
Bahnhofsstraße 2 - 4
23936 Grevesmühlen";verwaltung@ag-grefesmuehlen.mv-justiz.de;;(03881)75980;(03881)7598301
Amtsgericht Grimma ;"Amtsgericht Grimma 
Postfach 2 56
04662 Grimma";"Amtsgericht Grimma 
Bahnhofstraße 5
04668 Grimma";verwaltung-aggrm@aggrm.justiz.sachsen.de;http://www.justiz.sachsen.de;(03437)98520;(03437)911279
Amtsgericht Gronau (Westf.);"Amtsgericht Gronau (Westf.)
Postfach 11 61
48572 Gronau (Westf.)";"Amtsgericht Gronau (Westf.)
Alter Markt 5/7
48599 Gronau (Westf.)";poststelle@ag-gronau.nrw.de;http://www.ag-gronau.nrw.de;(02562)9200;(02562)92044
Amtsgericht Groß-Gerau;"Amtsgericht Groß-Gerau
Postfach 11 62
64518 Groß-Gerau";"Amtsgericht Groß-Gerau
Europaring 11-13
64521 Groß-Gerau";verwaltung@ag-grossgerau.justiz.hessen.de;http://www.ag-grossgerau.justiz.hessen.de;(06152)17002;(06152)53536
Amtsgericht Grünstadt ;"Amtsgericht Grünstadt 
Postfach 14 80
67264 Grünstadt";"Amtsgericht Grünstadt 
Tiefenthaler Straße 8
67269 Grünstadt";AGGRU@zw.jm.rlp.de;http://www.AGGRU.justiz.rlp.de;(06359)93510;(06359)935110
Amtsgericht Guben ;"Amtsgericht Guben 
Postfach 10 01 30
03161 Guben";"Amtsgericht Guben 
Alte Poststraße 66
03172 Guben";verwaltung@AGGUB.BRANDENBURG.DE;http://www.ag-guben.brandenburg.de;(03561)4080;(03561)408200
Amtsgericht Gummersbach ;"Amtsgericht Gummersbach 
Postfach 10 01 53
51601 Gummersbach";"Amtsgericht Gummersbach 
Moltkestraße 6
51643 Gummersbach";poststelle@ag-gummersbach.nrw.de;http://www.ag-gummersbach.nrw.de;(02261)8110;(02261)811100
Amtsgericht Günzburg;Amtsgericht Günzburg;"Amtsgericht Günzburg
Schloßplatz 3
89312 Günzburg";Poststelle@ag-gz.bayern.de;http://www.justiz.bayern.de/gericht/ag/gz;(08221)9080;(08221)908100
Amtsgericht Güstrow ;"Amtsgericht Güstrow 
Postfach 2 13
18262 Güstrow";"Amtsgericht Güstrow 
Goldberger Str. 12
18273 Güstrow";verwaltung@ag-guestrow.mv-justiz.de;;(03843)7710;(03843)771140
Amtsgericht Gütersloh ;"Amtsgericht Gütersloh 
Postfach 11 53
33326 Gütersloh";"Amtsgericht Gütersloh 
Friedrich-Ebert-Straße 30
33330 Gütersloh";poststelle@ag-guetersloh.nrw.de;http://www.ag-guetersloh.nrw.de;(05241)10333;(05241)103340
Landgericht  Gera ;"Landgericht  Gera 
Postfach 17 64
07507 Gera";"Landgericht  Gera 
Rudolf-Diener-Straße 2
07545 Gera";Poststelle@lgg.thueringen.de;http://www.thueringen.de/olg/LGG.html;(0365)8340;(0365)8341000
